"Please Note That This Is A Working Document And Subject To Change. Approved courses may not guarantee eligibility for enrollment- this ultimately will be determined by schools/ sites.
",,,,,,,,,
This sheet is a list of all courses that have been approved as counting towards particular degree requirements. It will continue to expand as more courses are evaluated and approved.,,,,,,,,,
"If you would like to check on a course that is not yet on the sheet, please email your advisor with the course number, name, and what degree requirement(s) you wish to count it for.",,,,,,,,,
Cannot find a course? Submit the form below for a course evaluation. https://shanghai.nyu.edu/advising/academic-procedures/course-evaluation,,,,,,,,,
,,,,,,,,,
Course Number,Course Title,Credit,Major/Minor,Core,(GN) Minor,Note,Date Added,Reg Office,
"	
ARTH-UA 6 ,Modern Art ,4,,,Art History,,4/10/2018,no need to add,
ARTH-UA 601,History of Architecture: Antiquity to Present,4,Humanities (topic),,,,9/27/2017,9/28/2017,
ARTH-UA 661,Shaping the Urban Environment,4,Humanities (topic),,,,9/27/2017,9/28/2017,
ARTH-UA 663 ,"Hist of City Planning, 19th & 20th Centuries",4,Humanities Topics,,,,2/1/2018,2/5/2018,
ARTS-UG 1045 ,"Oral History, Cultural Identity and The Arts",4,IMA Elective - Art & Design,,,,3/22/2018,3/22/2018,
ARTS-UG 1440,Technology Art and Public Space,4,IMA New: Art & Design,,,,11/15/2016,11/21/2016,
ARTS-UG 1515,Talk to Me: The Art of Storytelling for Audio and Radio in a Global City,4,IMA Elective - Art & Design or New Media & Entertainment,,,,3/21/2018,3/22/2018,
ARTS-UG 1619 ,Architecture and Urban Design Lab I,6,IMA Elective,,,Christian and Eric have approved it. 2/7/2022,,2/14/2022,
ARTS-UG 1623,Green Design and Planning,4,"IMA Elective, IMB: IM Elective",,,Chritstian and Eric approved it.,,2/10/2020,
ARTS-UG 1635,Digital Art and New Media,4,IMA Elective - New Media & Entertainment,,,,4/8/2018,4/16/2018,
ARTS-UG 1636 ,Designing for New Climates: Histories of Adaption,4,"IMA Elective, IMB: IM Elective",,,Christian and Eric have approved it. 11/11/2019,,11/13/2019,
ARTS-UG 1636 ,Design with Climate Change,4,IMA elective/ IMB: IM elective,,,,,already there,
ARTS-UG 1643,Future Reality: Trends and Impact of New Media,4,IMA elective/ IMB: IM elective,,,,,11/18/2021,
ARTS-UG 1647 ,Making Virtual Sense: 3D Graphic Studio for Critically-Driven Creative Applications,4,"IMA Elective (Old): Interactive Art & Entertainment
IMA Elective (New):  New Media & Entertainment.",,,,4/15/2016,4/21/2016,
ARTS-UG 1649 ,The Gameplay's the Thing: Story and Game Design,4,IMA/IMB Elective,,,,,10/11/2021,
